"2014 Form EIA-860 Data - Schedule 3, 'Generator Data' (Retired & Canceled Units Only)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Retirement Month,Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,"Turbines, Inverters, or Hydrokinetic Buoys",Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Cofire Fuels?,Switch Between Oil and Natural Gas?
179,Agrium US Inc,54452,Agrium Kenai Nitrogen Operations,AK,Kenai Peninsula,644G,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,1.3, ,1.3,1.3, ,N, , ,RE,X,9,1968,12,2001,N,Industrial CHP,7,X,NG,,,,,,,,,,,, ,,,,,,,,,,
189,PowerSouth Energy Cooperative,6192,Portland (FL),FL,Walton,1,Petroleum Liquids,GT,,S,X,X,,,11.0, ,7.0,9.0, ,N, , ,RE,X,3,1964,12,2006,N,Electric Utility,1,X,DFO,,,,,,,,,,N,N, ,,,,,,,,,,
195,Alabama Power Co,7708,APC1,AL,,2,Natural Gas Fired Combined Cycle,CC,,S,N,N,,,270.0, ,270.0,270.0, ,, , ,IP,X, , , , ,N,Electric Utility,1,X,NG,,,,,,,,,,N,, ,,,,,,,,,,
195,Alabama Power Co,7876,APC2,AL,,1,Natural Gas Fired Combined Cycle,CT,,S,X,,,,300.0, ,300.0,300.0, ,, , ,IP,X, , , , ,N,Electric Utility,1,X,NG,,,,,,,,,,N,, ,,,,,,,,,,
195,Alabama Power Co,7877,APC3,AL,,1,Natural Gas Fired Combined Cycle,CC,,S,N,N,,,200.0, ,200.0,200.0, ,, , ,IP,X, , , , ,N,Electric Utility,1,X,NG,,,,,,,,,,N,, ,,,,,,,,,,
219,Alaska Power and Telephone Co,69,Haines,AK,Haines,9,Petroleum Liquids,IC,,S,X,X,,,1.1, ,1.1,1.1, ,, , ,RE,X,12,1989,6,2004,N,Electric Utility,1,X,DFO,,,,,,,,,,,, ,,,,,,,,,,
219,Alaska Power and Telephone Co,7169,Northway,AK,Southeast Fairbanks,4,Petroleum Liquids,IC,,S,X,X,,,0.4, ,0.3,0.3, ,, , ,RE,X,1,1980,9,2001,N,Electric Utility,1,X,DFO,,,,,,,,,,,, ,,,,,,,,,,
219,Alaska Power and Telephone Co,56146,False Island,AK,Prince of Wales Ketchikan,3,Petroleum Liquids,IC,,S,X,X,,,0.3, ,0.3,0.3, ,, , ,RE,X,9,1983,9,2007,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,10M,,,,,,,,,
221,"Alaska Village Elec Coop, Inc",6311,Chevak,AK,Bethel,1,Petroleum Liquids,IC,,S,X,X,,,0.4, ,0.4,0.4, ,, , ,RE,X,10,1977,10,2009,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,
221,"Alaska Village Elec Coop, Inc",6311,Chevak,AK,Bethel,2,Petroleum Liquids,IC,,S,X,X,,,0.3, ,0.3,0.3, ,, , ,RE,X,11,1976,10,2009,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,
