,Year,Plant Type,Cap_added,Capacity-Weighted Age
244,1898,Storage,"24086    6.3
Name: cap_added, dtype: float64",NaN
245,1899,Storage,"24305    3.2
Name: cap_added, dtype: float64",NaN
246,1900,Storage,"24525    9.2
Name: cap_added, dtype: float64",NaN
247,1901,Storage,"24746    4.3
Name: cap_added, dtype: float64",NaN
248,1902,Storage,"24968    2.4
Name: cap_added, dtype: float64",NaN
249,1903,Storage,"25191    45.6
Name: cap_added, dtype: float64",NaN
250,1904,Storage,"25415    29.6
Name: cap_added, dtype: float64",NaN
251,1905,Storage,"25640    37.6
Name: cap_added, dtype: float64",NaN
252,1906,Storage,"25866    33.1
Name: cap_added, dtype: float64",NaN
253,1907,Storage,"26093    122.1
Name: cap_added, dtype: float64",NaN
254,1908,Storage,"26321    54.1
Name: cap_added, dtype: float64",NaN
255,1909,Storage,"26550    74.4
Name: cap_added, dtype: float64",NaN
256,1910,Storage,"26780    174.6
Name: cap_added, dtype: float64",NaN
257,1911,Storage,"27011    143.6
Name: cap_added, dtype: float64",NaN
258,1912,Storage,"27243    208.7
Name: cap_added, dtype: float64",NaN
259,1913,Storage,"27476    347.2
Name: cap_added, dtype: float64",NaN
260,1914,Storage,"27710    147.7
Name: cap_added, dtype: float64",NaN
261,1915,Storage,"27945    253.7
Name: cap_added, dtype: float64",NaN
262,1916,Storage,"28181    168.8
Name: cap_added, dtype: float64",NaN
263,1917,Storage,"28418    266.9
Name: cap_added, dtype: float64",NaN
264,1918,Storage,"28656    188.9
Name: cap_added, dtype: float64",NaN
265,1919,Storage,"28895    279.3
Name: cap_added, dtype: float64",NaN
266,1920,Storage,"29135    159.0
Name: cap_added, dtype: float64",NaN
267,1921,Storage,"29376    294.2
56495     10.0
Name: cap_added, dtype: float64",NaN
268,1922,Storage,"29618    179.2
Name: cap_added, dtype: float64",NaN
269,1923,Storage,"29861    409.4
Name: cap_added, dtype: float64",NaN
270,1924,Storage,"30105    543.6
Name: cap_added, dtype: float64",NaN
271,1925,Storage,"30350     732.4
56831      20.0
103046      2.0
Name: cap_added, dtype: float64",NaN
272,1926,Storage,"30596     281.7
103500     11.2
Name: cap_added, dtype: float64",NaN
273,1927,Storage,"30843     460.4
103955      8.0
Name: cap_added, dtype: float64",NaN
274,1928,Storage,"31091     1003.5
104411      67.5
Name: cap_added, dtype: float64",3
275,1929,Storage,"31340     260.7
57168      25.0
104868      6.0
Name: cap_added, dtype: float64",5.661290323
276,1930,Storage,"31590     792.6
57506      66.7
105326      9.5
Name: cap_added, dtype: float64",NaN
277,1931,Storage,"31841     626.8
105785     11.2
Name: cap_added, dtype: float64",NaN
278,1932,Storage,"32093    272.3
Name: cap_added, dtype: float64",NaN
279,1933,Storage,"32346    37.8
57845     3.0
Name: cap_added, dtype: float64",NaN
280,1934,Storage,"32600     37.6
58185      3.0
106245     3.0
Name: cap_added, dtype: float64",NaN
281,1935,Storage,"32855    81.1
58526    89.9
Name: cap_added, dtype: float64",NaN
282,1936,Storage,"33111     825.4
58868       9.0
106706     14.5
Name: cap_added, dtype: float64",NaN
283,1937,Storage,"33368     355.2
59211      20.8
107168      8.7
Name: cap_added, dtype: float64",NaN
284,1938,Storage,"33626     691.6
59555      25.0
107631     30.5
Name: cap_added, dtype: float64",NaN
285,1939,Storage,"33885     504.6
59900      65.6
108095     20.0
Name: cap_added, dtype: float64",NaN
286,1940,Storage,"34145     442.6
60246     137.5
108560     22.7
Name: cap_added, dtype: float64",NaN
287,1941,Storage,"34406     752.6
60593     134.8
109026     23.5
Name: cap_added, dtype: float64",NaN
288,1942,Storage,"34668     1109.4
60941      292.0
109493      52.5
Name: cap_added, dtype: float64",NaN
289,1943,Storage,"34931     1102.4
61290      479.2
109961      87.5
Name: cap_added, dtype: float64",NaN
290,1944,Storage,"35195    1013.6
61640     172.5
Name: cap_added, dtype: float64",NaN
291,1945,Storage,"35460     365.6
61991      77.5
110430     11.0
Name: cap_added, dtype: float64",NaN
292,1946,Storage,"35726    58.9
62343    50.0
Name: cap_added, dtype: float64",NaN
293,1947,Storage,"35993     169.0
62696     312.4
110900     60.5
Name: cap_added, dtype: float64",NaN
294,1948,Storage,"36261     803.1
63050     723.9
111371    109.7
Name: cap_added, dtype: float64",NaN
295,1949,Storage,"36530     1245.8
63405     1367.4
111843     118.3
Name: cap_added, dtype: float64",NaN
296,1950,Storage,"36800     1201.8
63761     1575.8
112316     134.3
Name: cap_added, dtype: float64",NaN
297,1951,Storage,"37071     1372.0
64118     1870.8
112790     168.2
Name: cap_added, dtype: float64",NaN
298,1952,Storage,"37343     1692.8
64476     3132.0
113265     133.6
Name: cap_added, dtype: float64",NaN
299,1953,Storage,"37616     1966.3
64835     4800.9
113741      73.1
Name: cap_added, dtype: float64",NaN
300,1954,Storage,"37890     1282.9
65195     6552.6
114218     136.0
Name: cap_added, dtype: float64",63.94936709
301,1955,Storage,"38165     1743.5
65556     7292.8
114696     193.3
Name: cap_added, dtype: float64",NaN
302,1956,Storage,"38441     1238.9
65918     2416.9
115175     154.9
Name: cap_added, dtype: float64",22.66171004
303,1957,Storage,"38718     1594.2
66281     4339.0
115655     150.8
Name: cap_added, dtype: float64",NaN
304,1958,Storage,"38996     2749.4
66645     6600.5
116136     157.6
Name: cap_added, dtype: float64",NaN
305,1959,Storage,"39275     1740.8
67010     7812.4
116618     151.3
Name: cap_added, dtype: float64",NaN
306,1960,Storage,"39555     1639.5
67376     6029.9
117101      91.0
Name: cap_added, dtype: float64",NaN
307,1961,Storage,"39836     3493.3
67743     4941.5
117585     147.5
Name: cap_added, dtype: float64",26.96915167
308,1962,Storage,"40118     2429.5
68111     4129.6
118070     118.2
Name: cap_added, dtype: float64",17.00667557
309,1963,Storage,"40401     2946.5
68480     4936.3
118556      66.1
Name: cap_added, dtype: float64",11.13929712
310,1964,Storage,"40685     2307.7
68850     5174.7
119043     136.5
Name: cap_added, dtype: float64",NaN
311,1965,Storage,"40970     1604.8
69221     5984.4
119531     296.7
Name: cap_added, dtype: float64",11.50096043
312,1966,Storage,"41256     1414.2
69593     4475.0
120020     171.4
Name: cap_added, dtype: float64",13.94588665
313,1967,Storage,"41543     2432.3
69966     8305.7
120510     181.2
Name: cap_added, dtype: float64",9.805966953
314,1968,Storage,"41831      1958.2
70340     10427.0
121001      217.8
Name: cap_added, dtype: float64",10.61017559
315,1969,Storage,"42120      1907.1
70715     13372.5
121493      358.5
156735     1191.8
Name: cap_added, dtype: float64",13.33063668
316,1970,Storage,"42410      1134.8
71091     11146.0
121986      117.8
157295     1257.0
Name: cap_added, dtype: float64",14.83395973
317,1971,Storage,"42701      1187.4
71468     14219.2
89046       110.0
122480       98.0
157856     1453.6
Name: cap_added, dtype: float64",17.16169211
318,1972,Storage,"42993       220.8
71846     11763.8
89468       110.0
122975       86.5
158418     4412.9
Name: cap_added, dtype: float64",18.8476912
319,1973,Storage,"43286      1260.8
72225     12733.0
89891       110.0
123471        5.0
158981     2996.2
Name: cap_added, dtype: float64",12.72831747
320,1974,Storage,"43580      554.0
72605     9516.6
123968      49.5
159545    5650.5
Name: cap_added, dtype: float64",14.62532832
321,1975,Storage,"43875     2030.5
72986     8961.8
90315      110.0
160110    3364.5
165815      16.5
Name: cap_added, dtype: float64",17.08308904
322,1976,Storage,"44171     1615.3
73368     8893.4
124466     245.1
160676    1805.4
Name: cap_added, dtype: float64",NaN
323,1977,Storage,"44468       519.4
73751     12617.6
124965      376.3
161243     3614.5
Name: cap_added, dtype: float64",21.66674681
324,1978,Storage,"44766      2321.6
74135     12288.5
125465      145.1
161811      979.7
Name: cap_added, dtype: float64",22.14141978
325,1979,Storage,"45065      2127.1
74520     10727.5
90740       110.0
125966      266.0
162380      864.7
Name: cap_added, dtype: float64",22.99540356
326,1980,Storage,"45365      1226.9
74906     14737.4
91166       251.0
126468      341.3
162950     1922.2
Name: cap_added, dtype: float64",25.559632
327,1981,Storage,"45666       278.8
75293     10502.8
126971      404.8
163521      888.2
166391       22.4
Name: cap_added, dtype: float64",28.33555327
328,1982,Storage,"45968       656.8
75681     12388.7
91593       128.0
127475      428.8
166968       19.5
Name: cap_added, dtype: float64",31.12647351
329,1983,Storage,"46271      721.7
76070     6710.7
92021      306.0
127980     333.0
167546     378.2
Name: cap_added, dtype: float64",33.78761446
330,1984,Storage,"46575      632.1
76460     9809.6
92450      217.7
128486     495.1
144668      14.8
168125     149.2
Name: cap_added, dtype: float64",34.17116486
331,1985,Storage,"46880     1220.2
76851     7353.2
92880      465.6
128993     642.1
145206      30.0
168705     140.8
Name: cap_added, dtype: float64",31.98088364
332,1986,Storage,"47186      632.9
77243     6402.5
93311       87.4
129501     517.3
145745      69.4
169286      85.6
Name: cap_added, dtype: float64",NaN
333,1987,Storage,"47493      276.8
77636     4200.1
93743       64.6
130010    1013.0
146285      34.5
164093    1874.3
169868     119.2
Name: cap_added, dtype: float64",37.61384917
334,1988,Storage,"47801      539.9
78030     1909.8
94176      289.2
130520     869.1
146826      70.4
170451      27.0
Name: cap_added, dtype: float64",NaN
335,1989,Storage,"48110      575.1
78425     1886.3
94610      328.9
131031    1012.5
147368      92.0
171035      98.8
Name: cap_added, dtype: float64",NaN
336,1990,Storage,"48420      464.0
78821     2229.4
95045       87.5
131543     800.1
147911      92.0
171620     113.2
Name: cap_added, dtype: float64",NaN
337,1991,Storage,"48731      167.2
79218     1896.3
132056    1058.9
172206      76.9
Name: cap_added, dtype: float64",46.64351494
338,1992,Storage,"49043      201.1
79616     1448.3
95481       97.8
132570     477.4
172793       6.9
Name: cap_added, dtype: float64",NaN
339,1993,Storage,"49356     158.9
80015     192.8
95918      48.0
133085    497.6
173381      4.2
Name: cap_added, dtype: float64",52.53294544
340,1994,Storage,"49670      276.9
80415     1055.0
133601     376.3
173970     124.4
Name: cap_added, dtype: float64",NaN
341,1995,Storage,"49985      123.2
80816     2624.4
134118     471.6
174560      30.0
Name: cap_added, dtype: float64",56.31544639
342,1996,Storage,"50301       60.7
81218     1913.3
96356       47.5
134636     482.7
Name: cap_added, dtype: float64",NaN
343,1997,Storage,"50618      62.5
81621      90.0
135155    377.4
175151     19.8
Name: cap_added, dtype: float64",NaN
344,1998,Storage,"50936       2.9
82025       3.5
96795      60.5
135675    295.9
148455      0.1
175743    177.4
Name: cap_added, dtype: float64",NaN
345,1999,Storage,"51255     188.6
82430     328.2
136196    160.6
149000      0.1
176336    697.8
Name: cap_added, dtype: float64",NaN
346,2000,Storage,"51575       3.7
82836     130.5
97235      69.8
136718    138.2
176930     56.1
Name: cap_added, dtype: float64",NaN
347,2001,Storage,"51896      150.1
83243      519.7
137241     466.3
149546       4.7
177525    1516.0
Name: cap_added, dtype: float64",NaN
348,2002,Storage,"52218      17.8
83651       0.0
97676       7.3
137765    234.0
150093      2.1
178121    661.0
Name: cap_added, dtype: float64",76.18483267
349,2003,Storage,"52541       82.5
84060       90.9
98118       24.0
138290     428.9
150641       0.2
178718    1609.2
Name: cap_added, dtype: float64",79.08954207
350,2004,Storage,"52865      79.2
84470     617.0
138816    140.2
179316    392.6
Name: cap_added, dtype: float64",NaN
351,2005,Storage,"53190       30.4
84881      477.7
98561       30.0
139343     158.6
151190       2.5
179915    2160.8
Name: cap_added, dtype: float64",NaN
352,2006,Storage,"53516       21.4
85293      580.7
99005       52.5
139871     364.8
151740       1.4
180515    2661.3
Name: cap_added, dtype: float64",NaN
353,2007,Storage,"53843       21.6
85706     1513.5
99450       56.7
140400     330.7
152291     109.5
181116    5283.8
Name: cap_added, dtype: float64",NaN
354,2008,Storage,"54171       19.7
86120     1584.0
99896       64.0
140930     351.5
152843      34.6
181718    8497.4
Name: cap_added, dtype: float64",94.08532252
355,2009,Storage,"54500       26.1
86535     1954.1
100343     212.7
141461     476.4
153396     108.9
182321    9921.5
Name: cap_added, dtype: float64",97.06789246
356,2010,Storage,"54830       21.5
86951     5836.0
100791      23.5
141993     362.9
153950     238.3
182925    4683.5
Name: cap_added, dtype: float64",NaN
357,2011,Storage,"55161      161.0
87368     4253.1
101240       6.8
142526     528.0
154505     763.2
183530    6882.8
Name: cap_added, dtype: float64",102.7560355
358,2012,Storage,"55493       352.9
87786      3952.5
101690      191.8
143060      561.3
155061     1578.3
184136    13270.3
Name: cap_added, dtype: float64",105.2504629
359,2013,Storage,"55826      428.5
88205      804.5
102141      91.0
143595     908.7
155618    3511.2
164666       0.0
184743     859.1
Name: cap_added, dtype: float64",108.0139172
360,2014,Storage,"56160      177.9
88625      106.2
102593      20.0
144131     278.1
156176    3692.7
165240       0.0
185351    4685.5
Name: cap_added, dtype: float64",110.9920527
361,1891,Hydropower,"23435    3.9
Name: cap_added, dtype: float64",1
362,1893,Hydropower,"23651    0.8
Name: cap_added, dtype: float64",2.659574468
363,1896,Hydropower,"23868    4.8
Name: cap_added, dtype: float64",11.89473684
364,1898,Hydropower,"24086    6.3
Name: cap_added, dtype: float64",8.651898734
365,1899,Hydropower,"24305    3.2
Name: cap_added, dtype: float64",8.152631579
366,1900,Hydropower,"24525    9.2
Name: cap_added, dtype: float64",6.464539007
367,1901,Hydropower,"24746    4.3
Name: cap_added, dtype: float64",11.70461538
368,1902,Hydropower,"24968    2.4
Name: cap_added, dtype: float64",21.28653295
369,1903,Hydropower,"25191    45.6
Name: cap_added, dtype: float64",10.16149068
370,1904,Hydropower,"25415    29.6
Name: cap_added, dtype: float64",8.380563124
371,1905,Hydropower,"25640    37.6
Name: cap_added, dtype: float64",15.88896412
372,1906,Hydropower,"25866    33.1
Name: cap_added, dtype: float64",13.87997788
373,1907,Hydropower,"26093    122.1
Name: cap_added, dtype: float64",12.78276659
374,1908,Hydropower,"26321    54.1
Name: cap_added, dtype: float64",18.36890756
375,1909,Hydropower,"26550    74.4
Name: cap_added, dtype: float64",18.70630505
376,1910,Hydropower,"26780    174.6
Name: cap_added, dtype: float64",31.95957096
377,1911,Hydropower,"27011    143.6
Name: cap_added, dtype: float64",32.9731857
378,1912,Hydropower,"27243    208.7
Name: cap_added, dtype: float64",38.27569655
379,1913,Hydropower,"27476    347.2
Name: cap_added, dtype: float64",32.69827652
380,1914,Hydropower,"27710    147.7
Name: cap_added, dtype: float64",31.40895954
381,1915,Hydropower,"27945    253.7
Name: cap_added, dtype: float64",27.64004921
382,1916,Hydropower,"28181    168.8
Name: cap_added, dtype: float64",26.25926321
383,1917,Hydropower,"28418    266.9
Name: cap_added, dtype: float64",26.06520116
384,1918,Hydropower,"28656    188.9
Name: cap_added, dtype: float64",26.31490457
385,1919,Hydropower,"28895    279.3
Name: cap_added, dtype: float64",32.85521679
386,1920,Hydropower,"29135    159.0
Name: cap_added, dtype: float64",32.91262907
387,1921,Hydropower,"29376    294.2
56495     10.0
Name: cap_added, dtype: float64",30.57633812
388,1922,Hydropower,"29618    179.2
Name: cap_added, dtype: float64",30.66662556
389,1923,Hydropower,"29861    409.4
Name: cap_added, dtype: float64",28.54643268
390,1924,Hydropower,"30105    543.6
Name: cap_added, dtype: float64",26.70432773
391,1925,Hydropower,"30350     732.4
56831      20.0
103046      2.0
Name: cap_added, dtype: float64",23.94949884
392,1926,Hydropower,"30596     281.7
103500     11.2
Name: cap_added, dtype: float64",23.91065774
393,1927,Hydropower,"30843     460.4
103955      8.0
Name: cap_added, dtype: float64",24.01823408
394,1928,Hydropower,"31091     1003.5
104411      67.5
Name: cap_added, dtype: float64",22.16782536
395,1929,Hydropower,"31340     260.7
57168      25.0
104868      6.0
Name: cap_added, dtype: float64",23.132273
396,1930,Hydropower,"31590     792.6
57506      66.7
105326      9.5
Name: cap_added, dtype: float64",22.78800388
397,1931,Hydropower,"31841     626.8
105785     11.2
Name: cap_added, dtype: float64",23.00398597
398,1932,Hydropower,"32093    272.3
Name: cap_added, dtype: float64",24.20590963
399,1933,Hydropower,"32346    37.8
57845     3.0
Name: cap_added, dtype: float64",26.07956696
400,1934,Hydropower,"32600     37.6
58185      3.0
106245     3.0
Name: cap_added, dtype: float64",27.89925305
401,1935,Hydropower,"32855    81.1
58526    89.9
Name: cap_added, dtype: float64",29.60937482
402,1936,Hydropower,"33111     825.4
58868       9.0
106706     14.5
Name: cap_added, dtype: float64",29.09726804
403,1937,Hydropower,"33368     355.2
59211      20.8
107168      8.7
Name: cap_added, dtype: float64",30.12941979
404,1938,Hydropower,"33626     691.6
59555      25.0
107631     30.5
Name: cap_added, dtype: float64",30.26650587
405,1939,Hydropower,"33885     504.6
59900      65.6
108095     20.0
Name: cap_added, dtype: float64",31.03170279
406,1940,Hydropower,"34145     442.6
60246     137.5
108560     22.7
Name: cap_added, dtype: float64",32.02117647
407,1941,Hydropower,"34406     752.6
60593     134.8
109026     23.5
Name: cap_added, dtype: float64",32.30987204
408,1942,Hydropower,"34668     1109.4
60941      292.0
109493      52.5
Name: cap_added, dtype: float64",32.28676891
409,1943,Hydropower,"34931     1102.4
61290      479.2
109961      87.5
Name: cap_added, dtype: float64",32.18366983
410,1944,Hydropower,"35195    1013.6
61640     172.5
Name: cap_added, dtype: float64",32.46456789
411,1945,Hydropower,"35460     365.6
61991      77.5
110430     11.0
Name: cap_added, dtype: float64",34.10921166
412,1946,Hydropower,"35726    58.9
62343    50.0
Name: cap_added, dtype: float64",36.37490159
413,1947,Hydropower,"35993     169.0
62696     312.4
110900     60.5
Name: cap_added, dtype: float64",38.39240138
414,1948,Hydropower,"36261     803.1
63050     723.9
111371    109.7
Name: cap_added, dtype: float64",39.00591974
415,1949,Hydropower,"36530     1245.8
63405     1367.4
111843     118.3
Name: cap_added, dtype: float64",38.82644914
416,1950,Hydropower,"36800     1201.8
63761     1575.8
112316     134.3
Name: cap_added, dtype: float64",38.92883803
417,1951,Hydropower,"37071     1372.0
64118     1870.8
112790     168.2
Name: cap_added, dtype: float64",38.89078075
418,1952,Hydropower,"37343     1692.8
64476     3132.0
113265     133.6
Name: cap_added, dtype: float64",38.52896685
419,1953,Hydropower,"37616     1966.3
64835     4800.9
113741      73.1
Name: cap_added, dtype: float64",38.03160804
420,1954,Hydropower,"37890     1282.9
65195     6552.6
114218     136.0
Name: cap_added, dtype: float64",38.80620233
421,1955,Hydropower,"38165     1743.5
65556     7292.8
114696     193.3
Name: cap_added, dtype: float64",39.03543021
422,1956,Hydropower,"38441     1238.9
65918     2416.9
115175     154.9
Name: cap_added, dtype: float64",40.09920929
423,1957,Hydropower,"38718     1594.2
66281     4339.0
115655     150.8
Name: cap_added, dtype: float64",41.18593252
424,1958,Hydropower,"38996     2749.4
66645     6600.5
116136     157.6
Name: cap_added, dtype: float64",40.53315469
425,1959,Hydropower,"39275     1740.8
67010     7812.4
116618     151.3
Name: cap_added, dtype: float64",41.28921291
426,1960,Hydropower,"39555     1639.5
67376     6029.9
117101      91.0
Name: cap_added, dtype: float64",42.22486761
427,1961,Hydropower,"39836     3493.3
67743     4941.5
117585     147.5
Name: cap_added, dtype: float64",41.45755077
428,1962,Hydropower,"40118     2429.5
68111     4129.6
118070     118.2
Name: cap_added, dtype: float64",42.04154806
429,1963,Hydropower,"40401     2946.5
68480     4936.3
118556      66.1
Name: cap_added, dtype: float64",43.86686101
430,1964,Hydropower,"40685     2307.7
68850     5174.7
119043     136.5
Name: cap_added, dtype: float64",45.05846877
431,1965,Hydropower,"40970     1604.8
69221     5984.4
119531     296.7
Name: cap_added, dtype: float64",46.61318428
432,1966,Hydropower,"41256     1414.2
69593     4475.0
120020     171.4
Name: cap_added, dtype: float64",48.36203471
433,1967,Hydropower,"41543     2432.3
69966     8305.7
120510     181.2
Name: cap_added, dtype: float64",49.23972883
434,1968,Hydropower,"41831      1958.2
70340     10427.0
121001      217.8
Name: cap_added, dtype: float64",50.61393566
435,1969,Hydropower,"42120      1907.1
70715     13372.5
121493      358.5
156735     1191.8
Name: cap_added, dtype: float64",52.07425367
436,1970,Hydropower,"42410      1134.8
71091     11146.0
121986      117.8
157295     1257.0
Name: cap_added, dtype: float64",54.22875017
437,1971,Hydropower,"42701      1187.4
71468     14219.2
89046       110.0
122480       98.0
157856     1453.6
Name: cap_added, dtype: float64",56.33083421
438,1972,Hydropower,"42993       220.8
71846     11763.8
89468       110.0
122975       86.5
158418     4412.9
Name: cap_added, dtype: float64",59.31339944
439,1973,Hydropower,"43286      1260.8
72225     12733.0
89891       110.0
123471        5.0
158981     2996.2
Name: cap_added, dtype: float64",61.29070797
440,1974,Hydropower,"43580      554.0
72605     9516.6
123968      49.5
159545    5650.5
Name: cap_added, dtype: float64",63.95236099
441,1975,Hydropower,"43875     2030.5
72986     8961.8
90315      110.0
160110    3364.5
165815      16.5
Name: cap_added, dtype: float64",65.14255869
442,1976,Hydropower,"44171     1615.3
73368     8893.4
124466     245.1
160676    1805.4
Name: cap_added, dtype: float64",66.75703934
443,1977,Hydropower,"44468       519.4
73751     12617.6
124965      376.3
161243     3614.5
Name: cap_added, dtype: float64",69.46819662
444,1978,Hydropower,"44766      2321.6
74135     12288.5
125465      145.1
161811      979.7
Name: cap_added, dtype: float64",70.35572236
445,1979,Hydropower,"45065      2127.1
74520     10727.5
90740       110.0
125966      266.0
162380      864.7
Name: cap_added, dtype: float64",71.50421469
446,1980,Hydropower,"45365      1226.9
74906     14737.4
91166       251.0
126468      341.3
162950     1922.2
Name: cap_added, dtype: float64",73.57238969
447,1981,Hydropower,"45666       278.8
75293     10502.8
126971      404.8
163521      888.2
166391       22.4
Name: cap_added, dtype: float64",76.58930352
448,1982,Hydropower,"45968       656.8
75681     12388.7
91593       128.0
127475      428.8
166968       19.5
Name: cap_added, dtype: float64",79.20426985
449,1983,Hydropower,"46271      721.7
76070     6710.7
92021      306.0
127980     333.0
167546     378.2
Name: cap_added, dtype: float64",81.7397111
450,1984,Hydropower,"46575      632.1
76460     9809.6
92450      217.7
128486     495.1
144668      14.8
168125     149.2
Name: cap_added, dtype: float64",84.35976063
451,1985,Hydropower,"46880     1220.2
76851     7353.2
92880      465.6
128993     642.1
145206      30.0
168705     140.8
Name: cap_added, dtype: float64",86.31690843
452,1986,Hydropower,"47186      632.9
77243     6402.5
93311       87.4
129501     517.3
145745      69.4
169286      85.6
Name: cap_added, dtype: float64",88.92233232
453,1987,Hydropower,"47493      276.8
77636     4200.1
93743       64.6
130010    1013.0
146285      34.5
164093    1874.3
169868     119.2
Name: cap_added, dtype: float64",91.93027205
454,1988,Hydropower,"47801      539.9
78030     1909.8
94176      289.2
130520     869.1
146826      70.4
170451      27.0
Name: cap_added, dtype: float64",94.60965828
455,1989,Hydropower,"48110      575.1
78425     1886.3
94610      328.9
131031    1012.5
147368      92.0
171035      98.8
Name: cap_added, dtype: float64",97.22867689
456,1990,Hydropower,"48420      464.0
78821     2229.4
95045       87.5
131543     800.1
147911      92.0
171620     113.2
Name: cap_added, dtype: float64",99.97050126
457,1991,Hydropower,"48731      167.2
79218     1896.3
132056    1058.9
172206      76.9
Name: cap_added, dtype: float64",103.0824059
458,1992,Hydropower,"49043      201.1
79616     1448.3
95481       97.8
132570     477.4
172793       6.9
Name: cap_added, dtype: float64",106.1428382
459,1993,Hydropower,"49356     158.9
80015     192.8
95918      48.0
133085    497.6
173381      4.2
Name: cap_added, dtype: float64",109.2542675
460,1994,Hydropower,"49670      276.9
80415     1055.0
133601     376.3
173970     124.4
Name: cap_added, dtype: float64",112.1935473
461,1995,Hydropower,"49985      123.2
80816     2624.4
134118     471.6
174560      30.0
Name: cap_added, dtype: float64",115.3449761
462,1996,Hydropower,"50301       60.7
81218     1913.3
96356       47.5
134636     482.7
Name: cap_added, dtype: float64",118.5835952
463,1997,Hydropower,"50618      62.5
81621      90.0
135155    377.4
175151     19.8
Name: cap_added, dtype: float64",121.8167792
464,1998,Hydropower,"50936       2.9
82025       3.5
96795      60.5
135675    295.9
148455      0.1
175743    177.4
Name: cap_added, dtype: float64",125.1402258
465,1999,Hydropower,"51255     188.6
82430     328.2
136196    160.6
149000      0.1
176336    697.8
Name: cap_added, dtype: float64",128.1662709
466,2000,Hydropower,"51575       3.7
82836     130.5
97235      69.8
136718    138.2
176930     56.1
Name: cap_added, dtype: float64",131.4873758
467,2001,Hydropower,"51896      150.1
83243      519.7
137241     466.3
149546       4.7
177525    1516.0
Name: cap_added, dtype: float64",134.5648805
468,2002,Hydropower,"52218      17.8
83651       0.0
97676       7.3
137765    234.0
150093      2.1
178121    661.0
Name: cap_added, dtype: float64",137.8601715
469,2003,Hydropower,"52541       82.5
84060       90.9
98118       24.0
138290     428.9
150641       0.2
178718    1609.2
Name: cap_added, dtype: float64",141.0412913
470,2004,Hydropower,"52865      79.2
84470     617.0
138816    140.2
179316    392.6
Name: cap_added, dtype: float64",144.2233912
471,2005,Hydropower,"53190       30.4
84881      477.7
98561       30.0
139343     158.6
151190       2.5
179915    2160.8
Name: cap_added, dtype: float64",147.4913832
472,2006,Hydropower,"53516       21.4
85293      580.7
99005       52.5
139871     364.8
151740       1.4
180515    2661.3
Name: cap_added, dtype: float64",150.7746481
473,2007,Hydropower,"53843       21.6
85706     1513.5
99450       56.7
140400     330.7
152291     109.5
181116    5283.8
Name: cap_added, dtype: float64",154.0563869
474,2008,Hydropower,"54171       19.7
86120     1584.0
99896       64.0
140930     351.5
152843      34.6
181718    8497.4
Name: cap_added, dtype: float64",157.3408562
475,2009,Hydropower,"54500       26.1
86535     1954.1
100343     212.7
141461     476.4
153396     108.9
182321    9921.5
Name: cap_added, dtype: float64",160.6118419
476,2010,Hydropower,"54830       21.5
86951     5836.0
100791      23.5
141993     362.9
153950     238.3
182925    4683.5
Name: cap_added, dtype: float64",163.8894682
477,2011,Hydropower,"55161      161.0
87368     4253.1
101240       6.8
142526     528.0
154505     763.2
183530    6882.8
Name: cap_added, dtype: float64",166.8764322
478,2012,Hydropower,"55493       352.9
87786      3952.5
101690      191.8
143060      561.3
155061     1578.3
184136    13270.3
Name: cap_added, dtype: float64",169.4544802
479,2013,Hydropower,"55826      428.5
88205      804.5
102141      91.0
143595     908.7
155618    3511.2
164666       0.0
184743     859.1
Name: cap_added, dtype: float64",171.8662755
480,2014,Hydropower,"56160      177.9
88625      106.2
102593      20.0
144131     278.1
156176    3692.7
165240       0.0
185351    4685.5
Name: cap_added, dtype: float64",174.805574
481,1891,Coal,"23435    3.9
Name: cap_added, dtype: float64",NaN
482,1893,Coal,"23651    0.8
Name: cap_added, dtype: float64",NaN
483,1896,Coal,"23868    4.8
Name: cap_added, dtype: float64",NaN
484,1898,Coal,"24086    6.3
Name: cap_added, dtype: float64",NaN
485,1899,Coal,"24305    3.2
Name: cap_added, dtype: float64",NaN
486,1900,Coal,"24525    9.2
Name: cap_added, dtype: float64",NaN
487,1901,Coal,"24746    4.3
Name: cap_added, dtype: float64",NaN
488,1902,Coal,"24968    2.4
Name: cap_added, dtype: float64",NaN
489,1903,Coal,"25191    45.6
Name: cap_added, dtype: float64",NaN
490,1904,Coal,"25415    29.6
Name: cap_added, dtype: float64",NaN
491,1905,Coal,"25640    37.6
Name: cap_added, dtype: float64",NaN
492,1906,Coal,"25866    33.1
Name: cap_added, dtype: float64",NaN
493,1907,Coal,"26093    122.1
Name: cap_added, dtype: float64",NaN
494,1908,Coal,"26321    54.1
Name: cap_added, dtype: float64",NaN
495,1909,Coal,"26550    74.4
Name: cap_added, dtype: float64",NaN
496,1910,Coal,"26780    174.6
Name: cap_added, dtype: float64",NaN
497,1911,Coal,"27011    143.6
Name: cap_added, dtype: float64",NaN
498,1912,Coal,"27243    208.7
Name: cap_added, dtype: float64",NaN
499,1913,Coal,"27476    347.2
Name: cap_added, dtype: float64",NaN
500,1914,Coal,"27710    147.7
Name: cap_added, dtype: float64",NaN
501,1915,Coal,"27945    253.7
Name: cap_added, dtype: float64",NaN
502,1916,Coal,"28181    168.8
Name: cap_added, dtype: float64",NaN
