,Year,Plant Type,Cap_added,Capacity-Weighted Age
67,1961,Natural Gas,"39836     3493.3
67743     4941.5
117585     147.5
Name: cap_added, dtype: float64",6.185359566
68,1962,Natural Gas,"40118     2429.5
68111     4129.6
118070     118.2
Name: cap_added, dtype: float64",6.674852104
69,1963,Natural Gas,"40401     2946.5
68480     4936.3
118556      66.1
Name: cap_added, dtype: float64",7.015526859
70,1964,Natural Gas,"40685     2307.7
68850     5174.7
119043     136.5
Name: cap_added, dtype: float64",7.377820506
71,1965,Natural Gas,"40970     1604.8
69221     5984.4
119531     296.7
Name: cap_added, dtype: float64",7.811774879
72,1966,Natural Gas,"41256     1414.2
69593     4475.0
120020     171.4
Name: cap_added, dtype: float64",8.194935845
73,1967,Natural Gas,"41543     2432.3
69966     8305.7
120510     181.2
Name: cap_added, dtype: float64",8.173573606
74,1968,Natural Gas,"41831      1958.2
70340     10427.0
121001      217.8
Name: cap_added, dtype: float64",8.479129521
75,1969,Natural Gas,"42120      1907.1
70715     13372.5
121493      358.5
156735     1191.8
Name: cap_added, dtype: float64",8.758587807
76,1970,Natural Gas,"42410      1134.8
71091     11146.0
121986      117.8
157295     1257.0
Name: cap_added, dtype: float64",8.953596109
77,1971,Natural Gas,"42701      1187.4
71468     14219.2
89046       110.0
122480       98.0
157856     1453.6
Name: cap_added, dtype: float64",8.980596973
78,1972,Natural Gas,"42993       220.8
71846     11763.8
89468       110.0
122975       86.5
158418     4412.9
Name: cap_added, dtype: float64",9.228462761
79,1973,Natural Gas,"43286      1260.8
72225     12733.0
89891       110.0
123471        5.0
158981     2996.2
Name: cap_added, dtype: float64",9.519947951
80,1974,Natural Gas,"43580      554.0
72605     9516.6
123968      49.5
159545    5650.5
Name: cap_added, dtype: float64",9.654636526
81,1975,Natural Gas,"43875     2030.5
72986     8961.8
90315      110.0
160110    3364.5
165815      16.5
Name: cap_added, dtype: float64",9.94163918
82,1976,Natural Gas,"44171     1615.3
73368     8893.4
124466     245.1
160676    1805.4
Name: cap_added, dtype: float64",10.62131366
83,1977,Natural Gas,"44468       519.4
73751     12617.6
124965      376.3
161243     3614.5
Name: cap_added, dtype: float64",11.14210704
84,1978,Natural Gas,"44766      2321.6
74135     12288.5
125465      145.1
161811      979.7
Name: cap_added, dtype: float64",11.8022927
85,1979,Natural Gas,"45065      2127.1
74520     10727.5
90740       110.0
125966      266.0
162380      864.7
Name: cap_added, dtype: float64",12.56710598
86,1980,Natural Gas,"45365      1226.9
74906     14737.4
91166       251.0
126468      341.3
162950     1922.2
Name: cap_added, dtype: float64",13.5321323
87,1981,Natural Gas,"45666       278.8
75293     10502.8
126971      404.8
163521      888.2
166391       22.4
Name: cap_added, dtype: float64",14.45423249
88,1982,Natural Gas,"45968       656.8
75681     12388.7
91593       128.0
127475      428.8
166968       19.5
Name: cap_added, dtype: float64",15.34479019
89,1983,Natural Gas,"46271      721.7
76070     6710.7
92021      306.0
127980     333.0
167546     378.2
Name: cap_added, dtype: float64",16.24651454
90,1984,Natural Gas,"46575      632.1
76460     9809.6
92450      217.7
128486     495.1
144668      14.8
168125     149.2
Name: cap_added, dtype: float64",17.12796281
91,1985,Natural Gas,"46880     1220.2
76851     7353.2
92880      465.6
128993     642.1
145206      30.0
168705     140.8
Name: cap_added, dtype: float64",17.93199081
92,1986,Natural Gas,"47186      632.9
77243     6402.5
93311       87.4
129501     517.3
145745      69.4
169286      85.6
Name: cap_added, dtype: float64",18.76505527
93,1987,Natural Gas,"47493      276.8
77636     4200.1
93743       64.6
130010    1013.0
146285      34.5
164093    1874.3
169868     119.2
Name: cap_added, dtype: float64",19.45898318
94,1988,Natural Gas,"47801      539.9
78030     1909.8
94176      289.2
130520     869.1
146826      70.4
170451      27.0
Name: cap_added, dtype: float64",20.12022089
95,1989,Natural Gas,"48110      575.1
78425     1886.3
94610      328.9
131031    1012.5
147368      92.0
171035      98.8
Name: cap_added, dtype: float64",20.62769077
96,1990,Natural Gas,"48420      464.0
78821     2229.4
95045       87.5
131543     800.1
147911      92.0
171620     113.2
Name: cap_added, dtype: float64",21.00449174
97,1991,Natural Gas,"48731      167.2
79218     1896.3
132056    1058.9
172206      76.9
Name: cap_added, dtype: float64",21.59033847
98,1992,Natural Gas,"49043      201.1
79616     1448.3
95481       97.8
132570     477.4
172793       6.9
Name: cap_added, dtype: float64",21.96574435
99,1993,Natural Gas,"49356     158.9
80015     192.8
95918      48.0
133085    497.6
173381      4.2
Name: cap_added, dtype: float64",22.3553787
100,1994,Natural Gas,"49670      276.9
80415     1055.0
133601     376.3
173970     124.4
Name: cap_added, dtype: float64",22.27234589
101,1995,Natural Gas,"49985      123.2
80816     2624.4
134118     471.6
174560      30.0
Name: cap_added, dtype: float64",22.52182356
102,1996,Natural Gas,"50301       60.7
81218     1913.3
96356       47.5
134636     482.7
Name: cap_added, dtype: float64",23.05063483
103,1997,Natural Gas,"50618      62.5
81621      90.0
135155    377.4
175151     19.8
Name: cap_added, dtype: float64",23.57281943
104,1998,Natural Gas,"50936       2.9
82025       3.5
96795      60.5
135675    295.9
148455      0.1
175743    177.4
Name: cap_added, dtype: float64",24.33582783
105,1999,Natural Gas,"51255     188.6
82430     328.2
136196    160.6
149000      0.1
176336    697.8
Name: cap_added, dtype: float64",24.28643346
106,2000,Natural Gas,"51575       3.7
82836     130.5
97235      69.8
136718    138.2
176930     56.1
Name: cap_added, dtype: float64",22.34433727
107,2001,Natural Gas,"51896      150.1
83243      519.7
137241     466.3
149546       4.7
177525    1516.0
Name: cap_added, dtype: float64",20.02905777
108,2002,Natural Gas,"52218      17.8
83651       0.0
97676       7.3
137765    234.0
150093      2.1
178121    661.0
Name: cap_added, dtype: float64",17.31495315
109,2003,Natural Gas,"52541       82.5
84060       90.9
98118       24.0
138290     428.9
150641       0.2
178718    1609.2
Name: cap_added, dtype: float64",16.08395308
110,2004,Natural Gas,"52865      79.2
84470     617.0
138816    140.2
179316    392.6
Name: cap_added, dtype: float64",16.12127985
111,2005,Natural Gas,"53190       30.4
84881      477.7
98561       30.0
139343     158.6
151190       2.5
179915    2160.8
Name: cap_added, dtype: float64",16.48748291
112,2006,Natural Gas,"53516       21.4
85293      580.7
99005       52.5
139871     364.8
151740       1.4
180515    2661.3
Name: cap_added, dtype: float64",17.09079144
113,2007,Natural Gas,"53843       21.6
85706     1513.5
99450       56.7
140400     330.7
152291     109.5
181116    5283.8
Name: cap_added, dtype: float64",17.77143604
114,2008,Natural Gas,"54171       19.7
86120     1584.0
99896       64.0
140930     351.5
152843      34.6
181718    8497.4
Name: cap_added, dtype: float64",18.40660828
115,2009,Natural Gas,"54500       26.1
86535     1954.1
100343     212.7
141461     476.4
153396     108.9
182321    9921.5
Name: cap_added, dtype: float64",18.95601123
116,2010,Natural Gas,"54830       21.5
86951     5836.0
100791      23.5
141993     362.9
153950     238.3
182925    4683.5
Name: cap_added, dtype: float64",19.6251793
117,2011,Natural Gas,"55161      161.0
87368     4253.1
101240       6.8
142526     528.0
154505     763.2
183530    6882.8
Name: cap_added, dtype: float64",20.16009697
118,2012,Natural Gas,"55493       352.9
87786      3952.5
101690      191.8
143060      561.3
155061     1578.3
184136    13270.3
Name: cap_added, dtype: float64",20.70657827
119,2013,Natural Gas,"55826      428.5
88205      804.5
102141      91.0
143595     908.7
155618    3511.2
164666       0.0
184743     859.1
Name: cap_added, dtype: float64",21.3395138
120,2014,Natural Gas,"56160      177.9
88625      106.2
102593      20.0
144131     278.1
156176    3692.7
165240       0.0
185351    4685.5
Name: cap_added, dtype: float64",21.89234479
121,1891,Petroleum,"23435    3.9
Name: cap_added, dtype: float64",NaN
122,1893,Petroleum,"23651    0.8
Name: cap_added, dtype: float64",NaN
123,1896,Petroleum,"23868    4.8
Name: cap_added, dtype: float64",NaN
124,1898,Petroleum,"24086    6.3
Name: cap_added, dtype: float64",NaN
125,1899,Petroleum,"24305    3.2
Name: cap_added, dtype: float64",NaN
126,1900,Petroleum,"24525    9.2
Name: cap_added, dtype: float64",NaN
127,1901,Petroleum,"24746    4.3
Name: cap_added, dtype: float64",NaN
128,1902,Petroleum,"24968    2.4
Name: cap_added, dtype: float64",NaN
129,1903,Petroleum,"25191    45.6
Name: cap_added, dtype: float64",NaN
130,1904,Petroleum,"25415    29.6
Name: cap_added, dtype: float64",NaN
131,1905,Petroleum,"25640    37.6
Name: cap_added, dtype: float64",NaN
132,1906,Petroleum,"25866    33.1
Name: cap_added, dtype: float64",NaN
133,1907,Petroleum,"26093    122.1
Name: cap_added, dtype: float64",NaN
134,1908,Petroleum,"26321    54.1
Name: cap_added, dtype: float64",NaN
135,1909,Petroleum,"26550    74.4
Name: cap_added, dtype: float64",NaN
136,1910,Petroleum,"26780    174.6
Name: cap_added, dtype: float64",NaN
137,1911,Petroleum,"27011    143.6
Name: cap_added, dtype: float64",NaN
138,1912,Petroleum,"27243    208.7
Name: cap_added, dtype: float64",NaN
139,1913,Petroleum,"27476    347.2
Name: cap_added, dtype: float64",NaN
140,1914,Petroleum,"27710    147.7
Name: cap_added, dtype: float64",NaN
141,1915,Petroleum,"27945    253.7
Name: cap_added, dtype: float64",NaN
142,1916,Petroleum,"28181    168.8
Name: cap_added, dtype: float64",NaN
143,1917,Petroleum,"28418    266.9
Name: cap_added, dtype: float64",NaN
144,1918,Petroleum,"28656    188.9
Name: cap_added, dtype: float64",NaN
145,1919,Petroleum,"28895    279.3
Name: cap_added, dtype: float64",NaN
146,1920,Petroleum,"29135    159.0
Name: cap_added, dtype: float64",NaN
147,1921,Petroleum,"29376    294.2
56495     10.0
Name: cap_added, dtype: float64",NaN
148,1922,Petroleum,"29618    179.2
Name: cap_added, dtype: float64",NaN
149,1923,Petroleum,"29861    409.4
Name: cap_added, dtype: float64",90
150,1924,Petroleum,"30105    543.6
Name: cap_added, dtype: float64",88
151,1925,Petroleum,"30350     732.4
56831      20.0
103046      2.0
Name: cap_added, dtype: float64",NaN
152,1926,Petroleum,"30596     281.7
103500     11.2
Name: cap_added, dtype: float64",NaN
153,1927,Petroleum,"30843     460.4
103955      8.0
Name: cap_added, dtype: float64",88.8381877
154,1928,Petroleum,"31091     1003.5
104411      67.5
Name: cap_added, dtype: float64",85.07739938
155,1929,Petroleum,"31340     260.7
57168      25.0
104868      6.0
Name: cap_added, dtype: float64",84.40184049
156,1930,Petroleum,"31590     792.6
57506      66.7
105326      9.5
Name: cap_added, dtype: float64",77.67676768
157,1931,Petroleum,"31841     626.8
105785     11.2
Name: cap_added, dtype: float64",76.44038294
158,1932,Petroleum,"32093    272.3
Name: cap_added, dtype: float64",76.64781491
159,1933,Petroleum,"32346    37.8
57845     3.0
Name: cap_added, dtype: float64",61.80777096
160,1934,Petroleum,"32600     37.6
58185      3.0
106245     3.0
Name: cap_added, dtype: float64",62.34703504
161,1935,Petroleum,"32855    81.1
58526    89.9
Name: cap_added, dtype: float64",63.16058394
162,1936,Petroleum,"33111     825.4
58868       9.0
106706     14.5
Name: cap_added, dtype: float64",62.77699229
163,1937,Petroleum,"33368     355.2
59211      20.8
107168      8.7
Name: cap_added, dtype: float64",62.9544035
164,1938,Petroleum,"33626     691.6
59555      25.0
107631     30.5
Name: cap_added, dtype: float64",62.93602897
165,1939,Petroleum,"33885     504.6
59900      65.6
108095     20.0
Name: cap_added, dtype: float64",61.97787611
166,1940,Petroleum,"34145     442.6
60246     137.5
108560     22.7
Name: cap_added, dtype: float64",61.94775726
167,1941,Petroleum,"34406     752.6
60593     134.8
109026     23.5
Name: cap_added, dtype: float64",64.59267376
168,1942,Petroleum,"34668     1109.4
60941      292.0
109493      52.5
Name: cap_added, dtype: float64",63.10360687
169,1943,Petroleum,"34931     1102.4
61290      479.2
109961      87.5
Name: cap_added, dtype: float64",61.78191856
170,1944,Petroleum,"35195    1013.6
61640     172.5
Name: cap_added, dtype: float64",62.99333767
