,State,tech,Capacity
220,IN,Solar,91.0
221,IN,Wind,1739.7
222,IA,Natural Gas,2965.6
223,IA,Nuclear,679.5
224,IA,Petroleum,1161.9
225,IA,Hydropower,128.2
226,IA,Coal,7133.1
227,IA,Other,42.9
228,IA,Wind,5663.2
229,OK,Natural Gas,14974.4
230,OK,Petroleum,74.3
231,OK,Storage,288.0
232,OK,Hydropower,808.8
233,OK,Coal,5844.0
234,OK,Other,88.0
235,OK,Wind,3779.5
236,AZ,Solar,1402.6
237,AZ,Natural Gas,15983.3
238,AZ,Nuclear,4209.6
239,AZ,Storage,194.1
240,AZ,Hydropower,2715.0
241,AZ,Coal,6707.0
242,AZ,Other,38.2
243,AZ,Petroleum,128.3
244,AZ,Wind,237.3
245,ID,Natural Gas,1240.5
246,ID,Petroleum,5.0
247,ID,Hydropower,2538.5
248,ID,Coal,18.9
249,ID,Geothermal,18.0
250,ID,Other,157.4
251,ID,Wind,966.6
252,CT,Natural Gas,3430.4
253,CT,Nuclear,2162.9
254,CT,Petroleum,3208.9
255,CT,Hydropower,118.5
256,CT,Coal,400.0
257,CT,Storage,31.0
258,CT,Other,268.0
259,CT,Solar,10.0
260,ME,Natural Gas,1857.3
261,ME,Petroleum,932.1
262,ME,Hydropower,715.7
263,ME,Coal,102.6
264,ME,Other,640.7
265,ME,Wind,430.6
266,MD,Natural Gas,2363.1
267,MD,Nuclear,1828.7
268,MD,Petroleum,3308.3
269,MD,Hydropower,550.8
270,MD,Coal,5139.2
271,MD,Other,161.6
272,MD,Solar,67.0
273,MD,Wind,160.0
274,MA,Solar,290.6
275,MA,Natural Gas,7379.2
276,MA,Nuclear,670.0
277,MA,Storage,1543.0
278,MA,Hydropower,267.1
279,MA,Coal,1130.3
280,MA,Other,358.3
281,MA,Petroleum,2847.6
282,MA,Wind,84.4
283,OH,Natural Gas,10943.7
284,OH,Nuclear,2236.8
285,OH,Petroleum,888.3
286,OH,Hydropower,128.6
287,OH,Coal,19043.1
288,OH,Storage,24.0
289,OH,Other,396.0
290,OH,Solar,36.7
291,OH,Wind,424.1
292,UT,Natural Gas,3233.4
293,UT,Petroleum,29.3
294,UT,Hydropower,262.1
295,UT,Coal,5202.7
296,UT,Geothermal,83.8
297,UT,Other,44.6
298,UT,Solar,1.3
299,UT,Wind,324.4
300,MO,Solar,7.7
301,MO,Natural Gas,6522.0
302,MO,Nuclear,1235.8
303,MO,Storage,601.4
304,MO,Hydropower,506.0
305,MO,Coal,13074.7
306,MO,Other,17.2
307,MO,Petroleum,1269.0
308,MO,Wind,458.5
309,MN,Natural Gas,5828.3
310,MN,Nuclear,1871.2
311,MN,Petroleum,924.6
312,MN,Hydropower,167.7
313,MN,Coal,5257.7
314,MN,Storage,1.1
315,MN,Other,544.0
316,MN,Solar,1.7
317,MN,Wind,3047.9
318,MI,Natural Gas,10085.0
319,MI,Nuclear,4314.1
320,MI,Petroleum,648.5
321,MI,Hydropower,366.1
322,MI,Coal,12071.6
323,MI,Storage,1978.8
324,MI,Other,484.9
325,MI,Wind,1529.5
326,RI,Natural Gas,1971.1
327,RI,Petroleum,17.7
328,RI,Hydropower,1.6
329,RI,Other,40.4
330,RI,Solar,6.9
331,RI,Wind,7.5
332,KS,Natural Gas,4877.5
333,KS,Nuclear,1267.7
334,KS,Petroleum,626.5
335,KS,Hydropower,7.0
336,KS,Coal,5384.8
337,KS,Other,33.1
338,KS,Wind,2968.7
339,MT,Natural Gas,456.0
340,MT,Petroleum,68.0
341,MT,Hydropower,2627.5
342,MT,Coal,2660.6
343,MT,Other,65.4
344,MT,Wind,662.3
345,MS,Nuclear,1440.0
346,MS,Coal,2887.5
347,MS,Other,494.0
348,MS,Petroleum,48.0
349,MS,Natural Gas,12675.0
350,SC,Natural Gas,6665.1
351,SC,Nuclear,6875.1
352,SC,Petroleum,871.0
353,SC,Hydropower,1364.1
354,SC,Coal,5917.2
355,SC,Storage,2581.2
356,SC,Other,481.1
357,SC,Solar,2.5
358,KY,Coal,17645.0
359,KY,Natural Gas,6239.4
360,KY,Petroleum,11.5
361,KY,Other,111.8
362,KY,Hydropower,804.1
363,OR,Natural Gas,3811.9
364,OR,Hydropower,8443.0
365,OR,Coal,642.2
366,OR,Geothermal,33.0
367,OR,Other,352.9
368,OR,Solar,13.9
369,OR,Wind,3158.4
370,SD,Coal,456.0
371,SD,Natural Gas,1207.0
372,SD,Petroleum,292.4
373,SD,Wind,660.0
374,SD,Hydropower,1602.1
